NroCheque,CodigoBanco,CodigoScurusal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Estado,Tipo
BIQPGBZT4WN,18,33,XPSF30225841972076,SQJU56428071508423,323.05,1653705426.601056,1657852626.601074,865-50-6891,pendiente,depositado
QEJEGBGQ8JT,18,33,XPSF30225841972076,YPLT45992466109352,921.67,1650940626.601594,1657507026.601609,865-50-6891,rechazado,depositado
DXCVGBV49GW,18,33,XPSF30225841972076,HHUO69606960271427,170.06,1651804626.601755,1657420626.601764,865-50-6891,pendiente,emitido
NKTUGBN9427,18,33,XPSF30225841972076,QPRT00754706381206,611.84,1650508626.60188,1657679826.601889,865-50-6891,rechazado,emitido
IBZRGBAFZA5,18,33,XPSF30225841972076,VNKA30089131934421,686.41,1650940626.601998,1658630226.602006,865-50-6891,rechazado,depositado
KHXKGBEMOPJ,18,33,XPSF30225841972076,PMUC04714285124000,498.87,1650854226.602115,1657679826.602122,865-50-6891,rechazado,emitido
ZROCGBFU65G,18,33,XPSF30225841972076,GVIR55909776582369,195.36,1653100626.602269,1657939026.602278,865-50-6891,aprobado,emitido
JRJWGBH9V8N,18,33,XPSF30225841972076,JAEE45551590042294,928.5,1652668626.602387,1658111826.602396,865-50-6891,pendiente,depositado
ZTRSGBS2FYU,18,33,XPSF30225841972076,LMRE41730428146546,205.77,1651718226.602504,1657852626.602512,865-50-6891,pendiente,emitido
SHJFGBMLCQ4,18,33,XPSF30225841972076,DDRP75517176045229,946.4,1652755026.602628,1657593426.602636,865-50-6891,pendiente,depositado
CCVYGBIJCF8,18,33,XPSF30225841972076,MZUC11330601688477,538.21,1651027026.602747,1658025426.602754,865-50-6891,rechazado,depositado
VMWQGBR7PN0,18,33,XPSF30225841972076,ZSWV36153492635110,414.51,1650767826.602871,1657766226.602879,865-50-6891,pendiente,depositado
SIOPGBWFUH5,18,33,XPSF30225841972076,QOYV31764303921376,886.15,1652755026.602985,1657939026.602993,865-50-6891,pendiente,depositado
SUKGGBPBRHO,18,33,XPSF30225841972076,LRED97296687577389,874.19,1652755026.603102,1657679826.60311,865-50-6891,pendiente,depositado
LZFKGB1DGJO,18,33,HAKW55082492694711,QBCH20407522758688,123.24,1652150226.603248,1657852626.603257,865-50-6891,rechazado,emitido
BSURGBEBHMH,18,33,HAKW55082492694711,BSCV89163489676993,7.87,1652582226.603407,1657852626.603415,865-50-6891,aprobado,emitido
MCLDGBCBMLH,18,33,HAKW55082492694711,ZAVA24894517446660,790.97,1653532626.603521,1658025426.603529,865-50-6891,aprobado,emitido
PGXZGBDB81G,18,33,HAKW55082492694711,FUEH45007627912560,16.73,1651372626.603635,1657507026.603643,865-50-6891,pendiente,emitido
ICHCGBTW1LD,18,33,HAKW55082492694711,TOMO01720099251853,793.75,1651545426.603749,1658543826.603757,865-50-6891,pendiente,depositado
QOBTGBGZMQW,18,33,HAKW55082492694711,MZYY71097951942641,546.78,1651891026.603865,1658457426.603874,865-50-6891,aprobado,depositado
ZMOLGBM3WEC,91,10,RTEN71738640140046,QSWM71454391014485,470.58,1653532626.604769,1657247826.604776,532-25-0626,aprobado,emitido
BPIAGB7NOF6,91,10,RTEN71738640140046,DQHY21644829838168,719.65,1653014226.606223,1657679826.606244,532-25-0626,aprobado,depositado
WQNQGBTHJ11,91,10,RTEN71738640140046,MXYZ44759221166972,999.34,1650422226.607565,1657766226.607578,532-25-0626,pendiente,emitido
CDNCGBG0JB2,91,10,RTEN71738640140046,RVJL76377857074270,829.62,1651372626.607716,1658111826.607725,532-25-0626,rechazado,depositado
NVNAGB5UQFW,91,10,RTEN71738640140046,TGAL76081160501904,47.95,1653791826.607843,1658543826.607852,532-25-0626,pendiente,depositado
CDLWGBBWWLA,91,10,RTEN71738640140046,UWJX32943167562566,36.53,1653100626.607965,1658111826.607972,532-25-0626,rechazado,emitido
HLCTGBJNANH,91,10,RTEN71738640140046,EOWE85232756676337,710.58,1652063826.608083,1657507026.608091,532-25-0626,rechazado,depositado
XAJLGBBOJL3,91,10,RTEN71738640140046,GSWB60312502394918,444.65,1653273426.60888,1658198226.608893,532-25-0626,aprobado,emitido
DPLWGBQIBNX,91,10,RTEN71738640140046,YJYL67088697747354,593.91,1653532626.609022,1658543826.609031,532-25-0626,rechazado,depositado
KPJJGB9ULFG,91,10,RTEN71738640140046,BBBF50402163968373,892.04,1653187026.609147,1657593426.609155,532-25-0626,aprobado,emitido
RSJFGBYJIOU,91,10,RTEN71738640140046,KTDT15587540803513,793.26,1653273426.609318,1658889426.609327,532-25-0626,pendiente,emitido
QHHYGBLSX0C,91,10,RTEN71738640140046,QLGG44486475304810,179.53,1652841426.609436,1657766226.609444,532-25-0626,pendiente,emitido
ETAMGBEEI0T,91,10,RTEN71738640140046,OPXO06777111312637,910.8,1652927826.609552,1658457426.609561,532-25-0626,aprobado,depositado
RNXEGB1TWFP,91,10,RTEN71738640140046,TCNR60237324556184,196.81,1652323026.60967,1658803026.609679,532-25-0626,rechazado,depositado
OULUGB7DY0A,91,10,RTEN71738640140046,TRZG47897844301912,333.29,1653446226.609787,1658803026.609794,532-25-0626,rechazado,emitido
NXKOGBNXS4F,91,10,RTEN71738640140046,XNHG40886016419538,564.62,1653014226.609904,1658371026.609912,532-25-0626,aprobado,depositado
FZDIGBH9J2Z,91,10,RTEN71738640140046,VJHX31845357492208,146.67,1651459026.610021,1658716626.610029,532-25-0626,rechazado,emitido
FYNNGBLP3V7,91,10,RTEN71738640140046,QKLS02622812379332,144.16,1652150226.610137,1658111826.610145,532-25-0626,aprobado,emitido
ELOUGBF4NSA,91,10,RTEN71738640140046,HYML99271908957740,697.17,1652409426.610268,1658975826.610276,532-25-0626,pendiente,emitido
WOTOGBANTHT,91,10,RTEN71738640140046,HRUF77851429635460,665.14,1652927826.610385,1657939026.610392,532-25-0626,pendiente,emitido
XXHKGB2OQWK,36,84,SDQU89664440644888,KKGW62082965708693,798.68,1652409426.611259,1657852626.611265,214-05-5164,pendiente,depositado
JALSGB8DJWB,36,84,SDQU89664440644888,ALQF35703934261973,925.37,1653446226.611362,1657939026.61137,214-05-5164,aprobado,emitido
PUBAGBPCAOU,36,84,SDQU89664440644888,XWOQ13271664465951,982.49,1653705426.611462,1658630226.61147,214-05-5164,rechazado,emitido
CBLVGB1IN21,36,84,SDQU89664440644888,JAPA43666609759294,647.68,1652755026.611564,1658457426.611571,214-05-5164,aprobado,emitido
ELJFGBV0YA0,36,84,SDQU89664440644888,KAMP82019550131870,900.48,1651804626.611665,1658543826.611673,214-05-5164,rechazado,depositado
IRRZGB3CH0Y,36,84,SDQU89664440644888,KAKM24629264802227,320.15,1650595026.611788,1658975826.611797,214-05-5164,pendiente,emitido
FAQEGB6JFVP,36,84,SDQU89664440644888,WUWY08086259118243,468.29,1651804626.611903,1658630226.611911,214-05-5164,rechazado,emitido
FHAZGBK9KF1,36,84,SDQU89664440644888,ZIKW44872782092805,984.96,1651459026.612019,1658543826.612027,214-05-5164,pendiente,emitido
TDTUGB3JCQV,36,84,SDQU89664440644888,CGUZ79378252780818,864.68,1652150226.616528,1658889426.616548,214-05-5164,rechazado,emitido
ZXXMGBBC5FW,36,84,SDQU89664440644888,KAYC16959756851250,365.59,1650854226.616711,1658371026.616719,214-05-5164,aprobado,emitido
JVEOGBP6WKZ,36,84,SDQU89664440644888,FXEA59306046092516,468.33,1652668626.61684,1658543826.616848,214-05-5164,aprobado,emitido
KIZPGBZAT7S,36,84,SDQU89664440644888,BOLT94497620743615,415.66,1651718226.616961,1658371026.616969,214-05-5164,pendiente,depositado
RPBYGB89QC3,36,84,SDQU89664440644888,DDAL02690578771086,544.56,1652755026.61709,1658630226.617099,214-05-5164,aprobado,depositado
MXDMGBW5DBR,36,84,SDQU89664440644888,ZZIA81155170284006,491.06,1651113426.617222,1658543826.61723,214-05-5164,pendiente,depositado
XBIVGBSN77V,36,84,SDQU89664440644888,KFRW22223950760334,641.1,1653273426.617347,1657420626.617355,214-05-5164,aprobado,depositado
MIGDGBVP8WK,36,84,SDQU89664440644888,KFHL32675926902906,411.13,1650767826.617469,1658025426.617477,214-05-5164,rechazado,emitido
EKXAGBDJWXS,36,84,WZFE00580001992260,NNSV53258386126951,403.22,1653705426.617588,1657593426.617597,214-05-5164,aprobado,emitido
UJKPGBZ1KAJ,36,84,WZFE00580001992260,NNHP63637691448580,848.71,1650767826.617747,1658284626.617756,214-05-5164,pendiente,emitido
SBOEGBVA4QM,36,84,WZFE00580001992260,TTYP34095618026066,357.3,1651891026.617867,1657679826.617875,214-05-5164,aprobado,emitido
CRNIGBL7KEK,36,84,WZFE00580001992260,NDWO97225762948155,578.75,1651545426.617987,1658457426.617995,214-05-5164,pendiente,emitido
YPUQGBDMQLU,84,208,BMRW97178551033744,HAPL85114963562343,643.27,1651891026.618867,1657939026.618876,147-81-5860,aprobado,depositado
JMUBGBS91C0,84,208,BMRW97178551033744,XYPV54692165873556,486.25,1652927826.618971,1658716626.618978,147-81-5860,aprobado,emitido
IMXGGBWIIHW,84,208,BMRW97178551033744,ILMY41741725325731,950.04,1650508626.619076,1658111826.619085,147-81-5860,rechazado,depositado
FANSGBZ3EE1,84,208,BMRW97178551033744,VMMO87993684735801,852.45,1650595026.619179,1658198226.619197,147-81-5860,pendiente,emitido
RXREGBKJNKO,84,208,BMRW97178551033744,PKMH60906143521250,608.19,1651286226.619299,1658889426.619307,147-81-5860,rechazado,emitido
AQEPGBWSVH0,84,208,BMRW97178551033744,HBAM80219931730896,718.83,1652063826.620293,1658889426.620308,147-81-5860,aprobado,depositado
YIFKGB6V8JY,84,208,BMRW97178551033744,CRFH36670636094095,947.11,1650335826.620464,1658630226.620472,147-81-5860,pendiente,depositado
XXRJGBPYWY4,84,208,BMRW97178551033744,WLKV72981411402926,710.02,1652841426.620591,1657852626.620599,147-81-5860,aprobado,emitido
QJNNGBGJJA7,84,208,GSVK36881817187727,RKEN46198537357607,480.03,1651199826.620709,1658284626.620717,147-81-5860,aprobado,emitido
DWYUGBN6HRK,84,208,GSVK36881817187727,XARM73634772374579,34.97,1652150226.620871,1658371026.620879,147-81-5860,pendiente,emitido
MCZBGBAHX4U,84,208,GSVK36881817187727,EQVC34810250592763,418.87,1653014226.620986,1657334226.620993,147-81-5860,pendiente,depositado
DVOLGBQ5OK9,84,208,GSVK36881817187727,NPGF60583528899629,157.55,1652323026.621103,1658198226.621111,147-81-5860,rechazado,depositado
RCYQGBKBK70,84,208,GSVK36881817187727,PVSG97037958300023,598.38,1651372626.621232,1657766226.621247,147-81-5860,rechazado,emitido
TVGOGBZQBIY,84,208,GSVK36881817187727,OVTH18645732585767,866.85,1651286226.621376,1658198226.621384,147-81-5860,pendiente,depositado
FOSBGBYFZVO,84,208,GSVK36881817187727,VKOC23126783500631,350.93,1653791826.621492,1658111826.6215,147-81-5860,rechazado,emitido
QOBPGBGR659,84,208,GSVK36881817187727,NSSZ68302874688119,353.85,1651631826.62161,1657334226.621618,147-81-5860,pendiente,depositado
UMPIGBLO8XK,84,208,GSVK36881817187727,XPYA36954103909852,96.42,1651891026.621726,1657679826.621734,147-81-5860,pendiente,emitido
JTEOGBEE4Z0,84,208,GSVK36881817187727,OIDS74366853941025,76.61,1651977426.621843,1657939026.621851,147-81-5860,pendiente,emitido
RCIPGBOHSJX,84,208,GSVK36881817187727,USSP18765601692201,547.13,1650854226.62196,1657939026.621968,147-81-5860,rechazado,emitido
ZDEVGBDI9MA,84,208,GSVK36881817187727,WNHB44615459388058,935.3,1651113426.622077,1658371026.622085,147-81-5860,rechazado,emitido
PAUIGBVIWG9,22,16,ZGBN26863688712180,CAXH67465641293300,589.46,1651459026.62372,1657593426.623731,566-02-2645,aprobado,depositado
NZYCGBQG7EI,22,16,ZGBN26863688712180,QZCW73729840925554,382.62,1651199826.623852,1657766226.623861,566-02-2645,pendiente,emitido
PBQZGBOWG9N,22,16,ZGBN26863688712180,QUWI20739657472745,238.36,1652063826.62396,1658975826.623969,566-02-2645,rechazado,depositado
FWVHGBZM2WK,22,16,ZGBN26863688712180,LUTM69684933634828,941.67,1650595026.624065,1657593426.624073,566-02-2645,pendiente,depositado
IXLRGBMN3UI,22,16,ZGBN26863688712180,EZTQ88754647803471,928.94,1650940626.624168,1657420626.624176,566-02-2645,aprobado,depositado
IRVYGBAFUTU,22,16,ZGBN26863688712180,AGTD40329259400092,564.34,1651372626.624308,1657766226.624317,566-02-2645,rechazado,emitido
BCTAGBSHKRM,22,16,ZGBN26863688712180,JHMP55196102098453,672.79,1653100626.624426,1658025426.624434,566-02-2645,pendiente,depositado
QRLOGBF0680,22,16,ZGBN26863688712180,MGKF27299869300690,590.45,1650595026.624545,1657679826.624553,566-02-2645,pendiente,depositado
DCSOGBULSP1,22,16,ZGBN26863688712180,UUUE81645930525477,549.34,1651286226.624662,1658457426.62467,566-02-2645,rechazado,emitido
VWJBGBBAREU,22,16,ZGBN26863688712180,TKIU17218486976296,727.73,1653705426.62478,1658025426.624788,566-02-2645,aprobado,emitido
KRUJGBDP7IQ,22,16,ZGBN26863688712180,YEVV19127416441588,341.04,1652236626.624897,1657852626.624906,566-02-2645,pendiente,depositado
TBZMGB0ROQU,22,16,ZCAB90216670521693,BGNA09628466807828,326.25,1652668626.625024,1658889426.625032,566-02-2645,rechazado,depositado
ZRPOGBH1XK7,22,16,ZCAB90216670521693,EUGS21974443600810,516.91,1653619026.625196,1657939026.625206,566-02-2645,rechazado,emitido
BHWZGB4YBPF,22,16,ZCAB90216670521693,UJEY28215052591153,403.88,1652668626.625329,1657593426.625337,566-02-2645,pendiente,depositado
JDFEGB2AX70,22,16,ZCAB90216670521693,IOKV77881157668786,409.5,1651372626.625447,1657247826.625455,566-02-2645,pendiente,emitido
DQHPGBSRZ14,22,16,ZCAB90216670521693,QCHE68521220691184,979.76,1651113426.625563,1658716626.625571,566-02-2645,aprobado,depositado
WBFWGB7WMPJ,22,16,ZCAB90216670521693,SJLV76959785380655,908.26,1651718226.625679,1658630226.625688,566-02-2645,aprobado,depositado
